192382,1,PDFGeneration,1/14/2015 14:26:12 PM,Failed,1/14/2015 14:23:00 PM,basic.step,testScripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2449,Passed,"",basic.init,
"Launch Browser: InternetExplorer 9.10.9200.17183",,1941,Passed,"",basic.step,
"Iteration Total (sec)",,189616,Failed,"",basic.iteration,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Google (/)",,39463,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,122,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=by62VOmUCoiBuASq0IGICA&gws_rd=ssl",16,22150,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,1967,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",19,395,Passed,"",ft.action,
"Think: 1.47 (sec).",,1489,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",20,438,Passed,"",ft.action,
"Think: 2.947 (sec).",,2972,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",21,82,Passed,"",ft.action,
"Think: 4.855 (sec).",,4876,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",22,335,Passed,"",ft.action,
"Think: 1.216 (sec).",,1259,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",23,120,Passed,"",ft.action,
"Think: 1.536 (sec).",,1570,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",24,574,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[2] Google (/)",,3038,Passed,"",basic.stepGroup,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=by62VOmUCoiBuASq0IGICA&gws_rd=ssl#q=oracle+application+testing+suite+pdf",25,479,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1909,Passed,"",basic.comment,
"mouseClick",27,459,Passed,"",ft.action,
"Find Object",,61029,Failed,"Find Object timeout. Detail information:/web:dialog_unknown[@text='Save As' and @winClass='##32770' and @index='1'].",ft.action,
"Find Object",,60035,Failed,"Find Object timeout. Detail information:/web:dialog_unknown[@text='Save As' and @winClass='##32770' and @index='1'].",ft.action,
"Finish Total (sec)",,80,Passed,"",basic.finish,
