624,1,ApplicationDBUtility,1/14/2015 21:27:19 PM,Passed,1/14/2015 21:27:18 PM,basic.step,Sample_ATOM_OATS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,312,Passed,"",basic.init,
"Iteration Total (sec)",,71,Passed,"",basic.iteration,
"Finish Total (sec)",,60,Passed,"",basic.finish,
