58588,1,PDFGeneration,1/14/2015 15:06:40 PM,Passed,1/14/2015 15:05:41 PM,basic.step,testScripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1460,Passed,"",basic.init,
"Launch Browser: InternetExplorer 9.10.9200.17183",,991,Passed,"",basic.step,
"Iteration Total (sec)",,56871,Passed,"",basic.iteration,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Google (/)",,28462,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,83,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=dji2VIHHFKmW8QeL1YDAAg&gws_rd=ssl",16,11100,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,1976,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",19,389,Passed,"",ft.action,
"Think: 1.47 (sec).",,1508,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",20,411,Passed,"",ft.action,
"Think: 2.947 (sec).",,2990,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",21,80,Passed,"",ft.action,
"Think: 4.855 (sec).",,4874,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",22,458,Passed,"",ft.action,
"Think: 1.216 (sec).",,1253,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",23,125,Passed,"",ft.action,
"Think: 1.536 (sec).",,1555,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",24,566,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[2] Google (/)",,3109,Passed,"",basic.stepGroup,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=dji2VIHHFKmW8QeL1YDAAg&gws_rd=ssl#q=oracle+application+testing+suite+pdf",25,483,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1919,Passed,"",basic.comment,
"mouseClick",27,398,Passed,"",ft.action,
"Finish Total (sec)",,62,Passed,"",basic.finish,
